1	41.912	57.766	156.73	0	3	0.67576	1.5612	-0.77705	0.33422	0.53337	1.902	-0.81808	-1.3056
2	30.957	29.539	-131.38	0	2	0.90895	1.5283	-0.32594	-0.36991	0.87002	0.67642	0.76767	-1.8056
3	25.989	60.359	44.894	17	3.6835	0	1.4924	0.61571	0.61343	0.49457	-2.6974	-2.6874	-2.1667
4	34.483	20.015	-29.133	9	1.6582	0	1.4986	0.29897	-0.16663	0.9396	-0.51263	0.28572	-1.6111
5	23.12	9.0637	-0.77909	0	0	0	1.4169	0.15752	-0.002142	0.98751	-0.38991	0.0053022	-2.4444
6	35.051	68.34	3.9108	11	2.3671	0	1.552	0.92722	0.063387	0.36911	-3.9775	-0.27191	-1.5833
7	54.432	35.72	10.58	0	0	0	1.428	0.57389	0.1072	0.81188	-0.68723	-0.12837	-0.97222
8	24.762	6.8066	3.2963	0	0	0	1.5978	0.11832	0.0068146	0.99295	-0.27142	-0.015632	-2.2778
9	28.842	44.874	39.022	0	0	0	1.4358	0.54815	0.44423	0.70866	-1.504	-1.2189	-1.9444
10	21.239	59.83	165.33	0	0	0	1.4015	-0.83634	0.219	0.50256	4.4378	-1.162	-2.6667
11	65.47	29.741	11.26	11	2.0633	0	1.5892	0.48653	0.096869	0.86828	-0.43582	-0.086773	-0.77778
12	50.692	48.589	127.59	0	0	0	1.4035	-0.45752	0.59426	0.66145	0.73012	-0.94833	-1.0556
13	23.913	30.24	175.84	21	4.5443	0	1.4286	-0.50229	0.036506	0.86393	1.3728	-0.09977	-2.3611
14	23.913	52.286	-11.038	0	0	0	1.5733	0.77644	-0.15146	0.61172	-2.9969	0.58462	-2.3611
15	22.14	15.389	-15.111	0	0	0	1.4132	0.2562	-0.069183	0.96414	-0.67908	0.18338	-2.5556
16	42.741	8.3452	178.26	-7	3	0.91393	1.5285	-0.14507	0.0044114	0.98941	0.18735	-0.0056971	-1.2778
17	43.603	42.239	168.69	11	2.2152	0	1.5181	-0.65918	0.1318	0.74034	1.113	-0.22253	-1.25
18	25.361	17.224	173.12	15	3.1266	0	1.5036	-0.29398	0.035461	0.95516	0.68395	-0.082502	-2.2222
19	46.397	40.663	164.27	0	0	0	1.4492	-0.62721	0.17665	0.75856	0.96465	-0.27168	-1.1667
20	38.88	33.613	-176.3	3	1	0.9117	1.483	-0.55243	-0.035724	0.83279	0.93974	0.06077	-1.4167
21	35.051	50.084	-26.848	11	2.1646	0	1.4342	0.68431	-0.34638	0.64167	-1.6885	0.85471	-1.5833
22	33.932	29.967	-13.618	17	3.6835	0	1.4095	0.48545	-0.11761	0.86632	-0.91837	0.22249	-1.6389
23	51.885	56.733	-5.7654	5	1	0	1.5743	0.83189	-0.083993	0.54854	-1.5587	0.15737	-1.0278
